,userId,top_topics
0,16,"['Blockchain', 'Security', 'Android']"
1,31,"['Cloud Services', 'Cryptocurrency']"
2,39,"['Security', 'Backend Development']"
3,40,"['Machine Learning', 'Web Development']"
4,41,['Security']
5,46,['Blockchain']
6,49,"['Data Analysis', 'Web Development']"
7,50,"['Software Development', 'App Development']"
8,51,"['Android', 'Web Development']"
9,54,"['Image Processing', 'Flutter']"
10,56,['Natural Language Processing']
11,63,"['Software Development', 'Backend Development']"
12,64,"['Flutter', 'Web Development']"
13,67,['Android']
14,69,"['Web Development', 'Web3']"
15,71,['Android']
16,72,"['Android', 'Information Security']"
17,73,"['Dev Ops', 'Cloud Services']"
18,76,['Machine Learning']
19,79,"['Deep Learning', 'Web Development']"
20,80,"['Security', 'Blockchain']"
21,83,"['Cloud Services', 'Android']"
22,84,"['Dev Ops', 'Software Development']"
23,86,"['Cybersecurity', 'Blockchain']"
24,91,['Cybersecurity']
25,92,"['App Development', 'Android']"
26,95,"['Cryptocurrency', 'Flutter']"
27,98,"['Android', 'Information Security']"
28,100,['Backend Development']
29,104,"['Deep Learning', 'App Development']"
30,105,"['Machine Learning', 'Backend Development']"
31,107,['Dev Ops']
32,112,"['Cybersecurity', 'App Development']"
33,113,"['Security', 'Web Development']"
34,116,['Natural Language Processing']
35,117,['Cloud Services']
36,119,['Deep Learning']
37,120,"['Natural Language Processing', 'Backend Development']"
38,121,['App Development']
39,122,['Android']
40,127,['Cybersecurity']
41,133,"['Cloud Computing', 'App Development']"
42,134,"['Image Processing', 'Software Development']"
43,140,['Natural Language Processing']
44,142,"['Natural Language Processing', 'Web Development']"
45,159,"['Web3', 'Android']"
46,163,"['Cloud Services', 'Cloud Computing']"
47,164,"['Security', 'Software Development']"
48,165,['Cloud Computing']
49,166,['Cryptocurrency']
50,167,"['Security', 'Cybersecurity']"
51,172,"['Cloud Services', 'Web3']"
52,176,"['Software Development', 'Web Development']"
53,177,"['Cloud Services', 'Software Development']"
54,180,['Cloud Services']
55,182,['Security']
56,185,"['Blockchain', 'App Development']"
57,196,"['Image Processing', 'Deep Learning']"
58,202,['Cybersecurity']
59,206,"['Cryptocurrency', 'Web Development']"
60,208,['Deep Learning']
61,210,['Cloud Computing']
62,212,"['Flutter', 'Cryptocurrency']"
63,215,['Software Development']
64,216,"['Backend Development', 'Software Development']"
65,217,"['Flutter', 'App Development']"
66,218,"['Data Analysis', 'Flutter']"
67,220,"['Machine Learning', 'Natural Language Processing']"
68,222,['Software Development']
69,225,"['App Development', 'Machine Learning']"
70,228,"['Image Processing', 'Software Development']"
71,229,"['Deep Learning', 'App Development']"
72,234,"['Web Development', 'Machine Learning']"
73,241,"['Backend Development', 'Cybersecurity']"
74,242,['Natural Language Processing']
75,243,"['Natural Language Processing', 'Web Development']"
76,244,"['Data Analysis', 'Backend Development']"
77,251,"['Cryptocurrency', 'App Development']"
78,257,['Flutter']
79,260,"['Cybersecurity', 'Flutter']"
80,264,['Security']
81,265,"['Deep Learning', 'Flutter']"
82,266,"['Data Science', 'Natural Language Processing']"
83,267,['Cryptocurrency']
84,272,"['Blockchain', 'Web Development']"
85,275,['Data Analysis']
86,279,['Information Security']
87,282,['Android']
88,285,['Android']
89,286,['Security']
90,292,"['Security', 'Backend Development']"
91,295,"['Deep Learning', 'Data Analysis']"
92,304,"['Data Analysis', 'Backend Development']"
93,305,"['Android', 'Flutter']"
94,306,"['Cryptocurrency', 'Backend Development']"
95,309,"['Information Security', 'Web3']"
96,312,"['Web3', 'Dev Ops']"
97,314,['Flutter']
98,316,"['Artificial Intelligence', 'App Development']"
